cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
Lanark Blue,sheep,Scotland,Blue,"semi-soft, artisan, blue-veined","brittle, grainy",natural,pale yellow,"lemony, mild, milky","buttery, spicy",True,False
Laruns,sheep,France,Blue,"soft, artisan","brittle, firm, supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild,False,False
Latteria San Biagio,cow,Italy,Blue,"soft, artisan",creamy,natural,white,"acidic, sweet",subtle,False,False
Laura Chenel's Cabecou,goat,United States,Blue,fresh firm,"creamy, dense, smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",True,False
Le Brin,cow,France,Blue,"semi-soft, artisan","creamy, spreadable",washed,white,"buttery, sweet","aromatic, nutty, yeasty",True,False
Le Chevrot,goat,France,Blue,soft,"creamy, dense, firm",mold ripened,cream,"herbaceous, nutty, strong","goaty, strong",False,False
Lil Moo,cow,United States,Blue,soft,"creamy, dense, spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",True,False
Limburger,cow,"Belgium, Germany, Netherlands",Blue,"semi-soft, smear-ripened","crumbly, firm, smooth",washed,straw,"grassy, mild, mushroomy",stinky,False,False
Lindy Hop,cow,United States,Blue,"semi-soft, blue-veined",creamy,natural,straw,"creamy, grassy, mild","rich, strong",False,False
Little Ypsi,goat,United States,Blue,"semi-soft, artisan","buttery, firm",natural,ivory,buttery,buttery,False,False
Livarot,cow,France,Blue,"soft, artisan",creamy,washed,white,full-flavored,"pungent, strong",False,False
Lo Speziato,cow,Italy,Blue,"soft, artisan",compact,natural,ivory,"full-flavored, spicy",fresh,True,False
Lord of the Hundreds,sheep,United Kingdom,Blue,"semi-hard, artisan","firm, grainy, open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",True,False
Lou Bergier Pichin,cow,Italy,Blue,"semi-soft, artisan","buttery, open, smooth",natural,brown,"creamy, floral, mushroomy","grassy, milky",True,False
Lyburn's Winchester,cow,"England, Great Britain, United Kingdom",Blue,"hard, artisan",creamy,natural,brownish yellow,"creamy, nutty",fresh,True,False
Madrona,goat,United States,Blue,"semi-soft, artisan",creamy,natural,ivory,mild,"fruity, herbal",True,False
Maffra Red Leicester,cow,Australia,Blue,"hard, artisan","buttery, creamy, dense, smooth",bloomy,brownish yellow,"creamy, mellow, smooth",pleasant,True,False
Magna,cow,Sweden,Blue,"firm, artisan, blue-veined",elastic,mold ripened,ivory,"full-flavored, salty, sharp",mild,False,False
Majorero,goat,Spain,Blue,semi-hard,"buttery, creamy",natural,pale white,acidic,"milky, nutty",False,False
Maredsous,cow,Belgium,Blue,soft,"creamy, soft",natural,pale yellow,"earthy, mushroomy",nutty,False,False
Margot,cow,Italy,Blue,semi-soft,firm,natural,cream,"bitter, full-flavored",strong,False,False
Marisa,sheep,United States,Blue,"semi-soft, artisan","dense, firm",leaf wrapped,white,"mellow, sweet",pleasant,True,False
Matocq,"cow, sheep",France,Blue,"semi-hard, processed",chewy,mold ripened,cream,"acidic, nutty",nutty,False,False
May Hill Green,cow,"England, Great Britain, United Kingdom",Blue,"semi-soft, artisan",runny,leaf wrapped,cream,"creamy, milky",strong,True,False
Maytag Blue,cow,United States,Blue,"semi-hard, blue-veined","crumbly, dense",rindless,cream,"lemony, savory, tangy","pungent, strong",True,False
Meredith Blue,sheep,Australia,Blue,"soft, semi-soft, artisan, blue-veined",creamy,natural,blue,"mild, mushroomy, sweet","fresh, goaty",False,False
Midnight Blue,goat,United States,Blue,"semi-soft, blue-veined","dense, dry",natural,pale yellow,"pungent, sharp, spicy",goaty,True,False
Mihalic Peynir,sheep,Turkey,Blue,"hard, artisan","crumbly, grainy, open",rindless,pale yellow,salty,strong,True,False
Milawa Blue,cow,Australia,Blue,"soft, blue-veined",creamy,mold ripened,blue,"buttery, creamy, sweet",rich,False,False
Milawa White,cow,Australia,Blue,soft,"creamy, open",bloomy,white,sweet,"grassy, sweet",True,False
Milbenkäse,cow,Germany,Blue,"semi-soft, smear-ripened",firm,bloomy,white,tangy,strong,False,False
Mine-Gabhar,goat,Ireland,Blue,"soft, artisan",creamy,natural,white,"acidic, sweet","earthy, pungent",True,False
Mistralou,goat,France,Blue,soft,creamy,natural,white,creamy,floral,False,False
Mobay,"goat, sheep",United States,Blue,"semi-soft, artisan","soft, supple",plastic,ivory,"earthy, sweet, tangy",goaty,True,False
Monastery Cheeses,cow,"Belgium, Canada, France, Switzerland, United States",Blue,"soft, semi-soft, brined","chalky, creamy, firm, grainy",washed,golden yellow,"mild, pungent","pungent, strong",False,False
Mondseer,cow,Austria,Blue,semi-hard,"creamy, smooth",washed,pale yellow,spicy,strong,False,False
Mont D'or,cow,France,Blue,"semi-soft, artisan",creamy,natural,ivory,"creamy, nutty","earthy, strong",False,False
Montagnolo,cow,Germany,Blue,"soft, blue-veined","creamy, smooth",natural,white,creamy,"buttery, rich",False,False
Monte Enebro,goat,Spain,Blue,semi-soft,smooth,natural,pale yellow,"creamy, lemony","goaty, strong",False,False
Montsalvat,cow,Germany,Blue,"soft, blue-veined","creamy, soft",waxed,ivory,"creamy, mild","fresh, goaty",False,False
Moody Blue,cow,United States,Blue,"semi-soft, artisan, blue-veined",creamy,natural,pale yellow,"creamy, nutty, subtle, tangy","rich, smokey",True,False
Moose,moose,Sweden,Blue,fresh soft,"creamy, smooth",rindless,pale yellow,smooth,pleasant,False,False
Morbier,cow,France,Blue,"semi-soft, artisan",creamy,bloomy,ivory,citrusy,"fruity, grassy",False,False
Mothais a la Feuille,goat,France,Blue,"soft, artisan","creamy, soft",natural,ivory,"lemony, woody",mushroom,False,False
Muenster,cow,United States,Blue,"soft, processed",smooth,waxed,pale yellow,mild,"pungent, strong",False,False
Muffato,cow,Italy,Blue,"semi-firm, artisan",flaky,natural,ivory,"full-flavored, grassy, herbaceous",herbal,True,False
Mun-chee,cow,United States,Blue,"semi-soft, processed","creamy, smooth",natural,pale yellow,"mild, sweet",mild,False,False
Muranda Blue,cow,United States,Blue,"semi-hard, blue-veined",crumbly,natural,pale yellow,"salty, sharp, strong",strong,False,False
Murol,cow,France,Blue,"semi-soft, artisan","creamy, firm, springy",washed,ivory,"mild, milky, savory, sweet",aromatic,False,False
Myzithra,"goat, sheep",Greece,Blue,"soft, whey","creamy, crumbly, spreadable",natural,white,mild,"fresh, mild",True,False
Pannerone,cow,Italy,Blue,"soft, semi-soft, artisan","creamy, grainy, open",natural,ivory,"bitter, buttery, smooth, sweet",rich,False,False
Panquehue,cow,Chile,Blue,"semi-soft, artisan","open, smooth",natural,cream,"creamy, nutty, savory, spicy",mushroom,True,False
Passendale,cow,Belgium,Blue,"semi-soft, soft-ripened",creamy,natural,golden orange,mild,sweet,False,False
Pave de Chirac,goat,France,Blue,"soft, artisan","creamy, smooth",natural,ivory,mild,fresh,False,False
Pembrokeshire Mature Cheddar,cow,United Kingdom,Blue,"semi-soft, artisan",dense,waxed,pale yellow,"smooth, tangy",strong,True,False
Pencarreg,cow,Great Britain,Blue,"soft, blue-veined",creamy,natural,pale yellow,smooth,rich,False,False
Pepper Jack,cow,United States,Blue,semi-soft,"creamy, smooth",natural,cream,"herbaceous, spicy","aromatic, herbal",False,False
Perl Las Blue,cow,United Kingdom,Blue,semi-soft,creamy,natural,golden yellow,"creamy, salty","aromatic, fresh, herbal",True,False
Picos de Europa,cow,Spain,Blue,"semi-soft, blue-veined",creamy,natural,blue,"spicy, strong","aromatic, rich",True,False
Pied-de-vent,cow,Canada,Blue,"semi-soft, blue-veined","creamy, smooth",washed,cream,"mushroomy, nutty",rich,False,False
Pigouille,sheep,France,Blue,"soft, artisan","creamy, crumbly, grainy",mold ripened,ivory,"acidic, salty, sweet, tangy",barnyardy,True,False
Pimento,cow,United States,Blue,"soft, artisan","creamy, crumbly",rindless,brown,spicy,"aromatic, fresh, strong",False,False
Point Reyes Bay Blue,cow,United States,Blue,"soft, artisan","creamy, crumbly",natural,pale yellow,"buttery, caramel, creamy, salty, sweet","earthy, strong",True,False
Point Reyes Original Blue,cow,United States,Blue,"semi-soft, artisan, blue-veined","buttery, creamy",natural,white,"creamy, milky, strong, sweet","fresh, milky, strong",True,False
Point Reyes Toma,cow,United States,Blue,"semi-hard, artisan","buttery, creamy",waxed,ivory,"buttery, creamy",buttery,True,False
Pompeii,cow,Australia,Blue,"semi-hard, artisan, smear-ripened","crumbly, soft, supple",washed,cream,"herbaceous, sweet",herbal,True,False
Port Nicholson,cow,New Zealand,Blue,semi-soft,"creamy, smooth",washed,orange,"sour, sweet",smokey,False,False
Pouligny-Saint-Pierre,goat,France,Blue,soft,"creamy, crumbly",natural,ivory,"acidic, sweet",goaty,False,False
Processed Cheese,cow,United States,Blue,"soft, processed","creamy, smooth, spreadable, springy",plastic,golden yellow,"buttery, milky, smooth","fresh, rich",False,False
Providence,goat,United States,Blue,"semi-soft, artisan","compact, crumbly",washed,pale yellow,creamy,yeasty,False,False
Pyramide,goat,France,Blue,"soft, artisan",crumbly,natural,ivory,"buttery, mild",pungent,False,False
Saint Agur,cow,France,Blue,"soft, blue-veined","creamy, smooth, spreadable",plastic,blue,"fruity, mellow, sharp",strong,False,False
Saint Felicien,cow,France,Blue,"soft, artisan",creamy,plastic,white,creamy,nutty,True,False
Saint Marcellin,cow,France,Blue,"soft, artisan","creamy, smooth",rindless,white,"mild, tangy","fresh, strong",False,False
Saint Rose,sheep,United States,Blue,"semi-soft, artisan",firm,natural,pale yellow,"citrusy, floral, nutty, sharp","grassy, mild",True,False
Sainte-Maure de Touraine AOC,goat,France,Blue,"semi-soft, artisan","creamy, fluffy, soft",washed,white,full-flavored,"aromatic, clean, fresh, herbal",False,False
Salemville Amish Blue,cow,United States,Blue,"semi-soft, artisan, blue-veined","creamy, crumbly",rindless,ivory,"creamy, earthy","earthy, rich",False,False
Salemville Amish Gorgonzola,cow,United States,Blue,"semi-soft, artisan, blue-veined","creamy, crumbly",natural,ivory,"creamy, earthy, piquant","earthy, rich",False,False
Salemville Smokehaus Blue,cow,United States,Blue,"semi-soft, artisan, blue-veined",creamy,natural,ivory,"creamy, smokey","earthy, rich, smokey",True,False
San Geronimo,cow,United States,Blue,"semi-soft, brined",smooth,washed,white,"acidic, meaty, mellow, mild, tangy, tart",earthy,False,False
San Simón DOP,cow,Spain,Blue,semi-soft,"buttery, creamy",natural,cream,buttery,"smokey, woody",False,False
Santa Gadea,goat,Spain,Blue,"soft, semi-soft","creamy, smooth, soft",washed,white,"mild, smokey",aromatic,False,False
Sartori Classic Cheese Fontina,cow,United States,Blue,"semi-soft, artisan",creamy,natural,pale yellow,"creamy, nutty, smooth, sweet","aromatic, lactic",True,False
Sartori Reserve Cheese Mediterranean Fontina,cow,United States,Blue,"semi-soft, artisan",creamy,natural,cream,"garlicky, piquant, spicy, sweet","earthy, herbal",True,False
Sartori Reserve Dolcina Gorgonzola,cow,United States,Blue,"semi-firm, blue-veined","creamy, soft",natural,ivory,"mild, smooth, sweet","rich, spicy",True,False
Schloss,cow,United States,Blue,"semi-soft, brined","chalky, creamy, smooth",washed,straw,"citrusy, earthy, fruity, full-flavored, meaty, pungent","pungent, strong",False,False
Sea Change,cow,United States,Blue,"semi-soft, artisan","elastic, smooth",natural,cream,"buttery, mild, milky","fruity, lactic, yeasty",True,False
Seator's Orkney,cow,"Great Britain, Scotland, United Kingdom",Blue,"hard, artisan",crumbly,bloomy,cream,acidic,lactic,True,False
Serra da Estrela DOP,sheep,Portugal,Blue,semi-soft,firm,bloomy,ivory,"subtle, sweet",pungent,False,False
Shaker Blue,sheep,United States,Blue,"semi-firm, blue-veined",creamy,rindless,ivory,"acidic, creamy, full-flavored, sweet","rich, sweet",True,False
Sharpham Savour,"cow, goat","England, Great Britain, United Kingdom",Blue,"semi-hard, artisan","close, creamy, supple",natural,cream,"smooth, sweet",fresh,True,False
Shepherd's Hope,sheep,United States,Blue,"fresh soft, artisan","creamy, firm, soft",rindless,white,"citrusy, garlicky, herbaceous, mild, milky","aromatic, fresh, herbal",True,False
Sinodun Hill,goat,England,Blue,soft,fluffy,natural,pale yellow,creamy,clean,True,False
Smokey Jalapeño,cow,Canada,Blue,"semi-firm, artisan","creamy, firm",bloomy,golden orange,"creamy, mild, spicy","earthy, mushroom",True,False
Smokey Mountain Round,goat,United States,Blue,"semi-soft, artisan",compact,natural,white,"savory, woody","aromatic, lactic",True,False
Smokey Oregon Blue,cow,United States,Blue,"semi-hard, blue-veined","dense, firm",natural,pale yellow,"caramel, earthy, savory, sharp, sweet","milky, nutty, smokey",True,False
Sofia,goat,United States,Blue,"soft, artisan, soft-ripened","close, creamy, dense, soft, soft-ripened",mold ripened,cream,"citrusy, creamy, sweet, tangy",strong,False,False
Somerset Brie,cow,"England, United Kingdom",Blue,"soft, artisan","creamy, smooth",natural,white,mild,"fresh, grassy, mushroom",True,False
Sosha,"goat, yak","China, Nepal, Tibet",Blue,"soft, artisan",creamy,natural,white,"pungent, strong","pungent, strong",True,False
Soumaintrain,cow,France,Blue,"soft, artisan","creamy, smooth",washed,yellow,creamy,rich,False,False
Speziato,cow,Italy,Blue,soft,compact,natural,ivory,"earthy, spicy",aromatic,False,False
Squaquerone di Bufala,water buffalo,Italy,Blue,"fresh soft, artisan","creamy, soft, spreadable",rindless,white,"acidic, piquant, subtle, sweet","pleasant, subtle",False,False
St Jude,cow,"England, Great Britain, United Kingdom",Blue,"soft, artisan","creamy, fluffy",mold ripened,cream,sweet,"buttery, rich",False,False
St Mang Original Allgäuer Limburger,cow,Germany,Blue,"soft, artisan",creamy,natural,pale yellow,spicy,"mild, spicy",True,False
St Tola Log,goat,Ireland,Blue,soft,creamy,natural,white,citrusy,"grassy, mild, nutty",False,False
Stawley,goat,"England, Great Britain, United Kingdom",Blue,soft,"dense, firm, smooth",mold ripened,pale yellow,"caramel, floral, milky, sweet","mushroom, nutty",False,False
Stella Blue,cow,United States,Blue,"semi-soft, artisan",crumbly,natural,white,tangy,rich,True,False
Stella Fontina,cow,United States,Blue,"semi-soft, artisan","creamy, open",natural,pale yellow,"buttery, sweet","earthy, mild",True,False
Stella Gorgonzola,cow,United States,Blue,"semi-soft, blue-veined",creamy,natural,cream,"earthy, mellow, tangy",pleasant,True,False
Stella Italian Sharp,cow,United States,Blue,"semi-soft, artisan",creamy,natural,pale yellow,"creamy, full-flavored, sharp",strong,False,False
Stella Reduced Fat Blue,cow,United States,Blue,"semi-soft, artisan",crumbly,natural,white,full-flavored,pleasant,True,False
Stella Smoked Blue,cow,United States,Blue,"semi-soft, artisan","creamy, crumbly",natural,white,"creamy, subtle","pleasant, smokey",True,False
Sternschnuppe,cow,Germany,Blue,"firm, artisan","buttery, firm",washed,golden yellow,"buttery, fruity","caramel, herbal, nutty, rich",False,False
Stichelton,cow,"England, Great Britain, United Kingdom",Blue,"semi-soft, artisan, blue-veined",creamy,mold ripened,ivory,"buttery, caramel, creamy, savory, spicy, sweet",rich,False,False
Stickney Hill Chevre,goat,United States,Blue,"semi-soft, artisan","crumbly, spreadable",natural,white,"garlicky, herbaceous, spicy, tangy","goaty, mild, milky",True,False
Stilton,cow,England,Blue,"hard, blue-veined","creamy, crumbly, smooth",natural,white,"spicy, strong",smokey,False,False
Stinking Bishop,cow,United Kingdom,Blue,"semi-soft, artisan","creamy, smooth",washed,white,"buttery, citrusy",pungent,True,False
Strathdon Blue,cow,Scotland,Blue,semi-soft,creamy,natural,pale yellow,"creamy, spicy","aromatic, rich",True,False
Strawberry Moon,cow,"Canada, Italy",Blue,"semi-hard, artisan, smear-ripened","compact, creamy, dense",washed,straw,"subtle, sweet",strong,True,False
Sun Dried Tomato and Basil Cashew Cheese,cow,Canada,Blue,"soft, artisan",creamy,rindless,white,"creamy, full-flavored, herbaceous, nutty, tangy","herbal, nutty",True,False
Sunlight,goat,United States,Blue,"semi-hard, artisan","compact, creamy, firm, open, smooth",washed,cream,"buttery, caramel, grassy, piquant, sweet, tangy","pungent, strong",True,False
Sussex Slipcote,sheep,England,Blue,soft,creamy,natural,white,sharp,"herbal, nutty, woody",True,False
Sveciaost,cow,Sweden,Blue,"semi-hard, brined","creamy, supple",rindless,pale yellow,acidic,"grassy, mushroom, rich",False,False
Leonora®,goat,Spain,Brie,"semi-soft, artisan",soft-ripened,bloomy,white,"lemony, mushroomy",lactic,False,False
Lacey Grey,goat,Canada,Brie,"soft, artisan, soft-ripened","creamy, soft",bloomy,white,"acidic, bitter, nutty","clean, herbal",False,False
Bath Soft Cheese,cow,England,Brie,soft,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",True,False
Little Rydings,sheep,England,Brie,"soft, artisan","creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",True,False
Cirrus,cow,United States,Brie,"soft, soft-ripened","creamy, soft",bloomy,ivory,"acidic, buttery, milky, nutty, salty","earthy, mushroom, rich",False,False
Bent River,cow,United States,Brie,"soft, artisan, soft-ripened","smooth, soft",bloomy,pale yellow,"buttery, mellow, milky, subtle",mushroom,True,False
Minger,cow,Scotland,Brie,soft,"buttery, creamy, runny",washed,orange,"full-flavored, garlicky, meaty, pungent, strong","barnyardy, ripe, stinky, yeasty",True,False
ColoRouge,cow,United States,Brie,"soft, artisan, smear-ripened","creamy, soft",washed,white,"acidic, buttery, creamy, earthy","buttery, earthy, mild, spicy",True,False
La Pyramide,goat,Canada,Brie,"semi-soft, artisan",dense,ash coated,ivory,"salty, tangy",mild,False,False
Meredith Chevre Ash,goat,Australia,Brie,"fresh soft, artisan","creamy, soft",ash coated,white,"creamy, smooth","clean, fresh",True,False
Le Lacandou,sheep,France,Brie,"soft, artisan",creamy,natural,pale yellow,fruity,grassy,False,False
Lincoln Log,goat,United States,Brie,"semi-soft, soft-ripened","creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",False,False
Pérail de Brebis,sheep,France,Brie,"soft, artisan","creamy, smooth",rindless,pale yellow,"full-flavored, strong",goaty,False,False
Mt Tam,cow,United States,Brie,soft,"creamy, firm",bloomy,pale yellow,"buttery, earthy","grassy, mushroom, rich",True,False
Prix de Diane,cow,United States,Brie,"soft, artisan","creamy, soft, soft-ripened",bloomy,pale yellow,"buttery, citrusy, creamy, subtle",rich,True,False
Bufala Soldier,"cow, goat, water buffalo",United States,Brie,"soft, artisan, soft-ripened","buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,True,False
Accasciato,"buffalo, cow",Italy,Brie,semi-hard,firm,natural,pale yellow,sweet,"aromatic, fresh",False,False
Selles sur Cher,goat,France,Brie,soft,firm,ash coated,pale yellow,tangy,"lactic, nutty",False,False
Brie au poivre (Brie with pepper),cow,France,Brie,"soft, soft-ripened",creamy,bloomy,white,"creamy, spicy",spicy,False,False
MouCo Truffello,cow,United States,Brie,"soft, artisan, soft-ripened","creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",False,False
Bent River,cow,United States,Brie,"soft, artisan, soft-ripened","smooth, soft",bloomy,yellow,"buttery, mellow, milky, subtle",mushroom,True,False
Sharpham Elmhirst,cow,"England, Great Britain, United Kingdom",Brie,"soft, artisan, soft-ripened","creamy, smooth, soft, soft-ripened, spreadable",bloomy,white,"creamy, full-flavored, milky, smooth","fresh, mild, milky, rich",True,False
Cana de Cabra,goat,Spain,Brie,"semi-soft, soft-ripened",creamy,bloomy,ivory,"creamy, mild","mild, mushroom",False,False
Bermuda Triangle,goat,United States,Brie,"semi-soft, soft-ripened","creamy, crumbly, dense, firm, smooth",bloomy,white,"earthy, piquant, spicy, tangy","earthy, fresh, spicy",True,False
La Rumeur,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, runny, supple",bloomy,cream,"creamy, mild","mild, milky",False,False
Brousse du Rove,"cow, goat, sheep",France,Brie,"soft, artisan",creamy,rindless,white,"mild, sweet",milky,False,False
Capraricca,goat,Italy,Brie,"soft, artisan, soft-ripened","creamy, runny, supple",bloomy,white,sweet,"fresh, goaty",False,False
Bath Soft Cheese,cow,England,Brie,soft,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",False,False
Bucheret,goat,United States,Brie,"soft, artisan, soft-ripened","buttery, chalky, dense, smooth, soft-ripened",bloomy,white,"buttery, mushroomy, nutty, tangy",rich,True,False
Macconais,"cow, goat",France,Brie,"soft, artisan, soft-ripened","creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,False,False
Cabecou,goat,France,Brie,"soft, artisan","creamy, smooth",leaf wrapped,white,"smooth, tangy",aromatic,False,False
Cashew Nut Cream Cheese,cow,United States,Brie,"soft, artisan","creamy, smooth, soft, spreadable",waxed,white,"creamy, nutty, sweet","clean, fresh, nutty",True,False
Paillot de Chèvre,goat,Canada,Brie,"soft, soft-ripened","firm, runny, smooth, soft-ripened",bloomy,white,"acidic, nutty, tangy","goaty, lactic",True,False
Bent River,cow,United States,Brie,"soft, artisan, soft-ripened","smooth, soft",bloomy,white,"buttery, mellow, milky, subtle",mushroom,True,False
Civray,goat,France,Brie,"soft, artisan","creamy, firm",natural,pale yellow,"acidic, sweet",pleasant,False,False
St Tola Ash Log,goat,Ireland,Brie,"soft, artisan",smooth,ash coated,white,full-flavored,"caramel, clean, grassy",False,False
Belle Creme,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, smooth, soft-ripened",bloomy,white,"acidic, buttery, creamy, salty","mushroom, nutty",False,False
Mycella,cow,Denmark,Brie,"soft, artisan, blue-veined",crystalline,rindless,pale yellow,mild,"nutty, sweet",False,False
Caprice des Dieux,cow,France,Brie,"soft, soft-ripened","creamy, smooth",bloomy,white,"buttery, nutty, smooth",fresh,True,False
Barilotto,buffalo,Italy,Brie,"hard, soft-ripened",firm,washed,pale yellow,"creamy, sharp","buttery, fresh",False,False
Amsterdammer (British Columbia),cow,Canada,Brie,"semi-soft, firm","buttery, creamy",natural,pale yellow,"buttery, creamy","aromatic, buttery",False,False
La Sauvagine,cow,Canada,Brie,soft,"buttery, creamy, runny, supple",washed,ivory,"buttery, creamy",mushroom,True,False
Cuor di burrata,goat,Italy,Brie,soft,"creamy, smooth",natural,white,"buttery, milky, sweet","fresh, herbal, nutty",False,False
La Tur,"cow, goat, sheep",Italy,Brie,"soft, artisan, soft-ripened","creamy, fluffy, soft-ripened",mold ripened,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",False,False
Marin French Triple Crème,cow,United States,Brie,soft,"fluffy, smooth",bloomy,ivory,sweet,"rich, sweet",False,False
Amalthée,goat,France,Brie,"soft, soft-ripened","creamy, firm",bloomy,pale yellow,"grassy, mild, sweet","goaty, grassy, mild, sweet",False,False
Brefu Bach,sheep,Wales,Brie,soft,soft,natural,golden yellow,sweet,pleasant,True,False
Cream Cheesy Bliss,cow,"Canada, United States",Brie,soft,"creamy, spreadable",artificial,white,"creamy, garlicky, herbaceous, sweet",rich,True,False
Sonnet,"goat, sheep",United States,Brie,"soft, artisan","smooth, spreadable",bloomy,ivory,"lemony, smooth",rich,True,False
Buche de Chevre,goat,France,Brie,"soft, soft-ripened",creamy,natural,white,sweet,strong,False,False
Mycella,cow,Denmark,Brie,"soft, artisan, blue-veined",crystalline,rindless,pale yellow,mild,"fresh, mild",False,False
Pack Square,cow,United States,Brie,"semi-soft, artisan, soft-ripened","buttery, creamy, soft, soft-ripened",bloomy,white,"buttery, creamy, earthy, spicy","grassy, rich",False,False
Buxton Blue,cow,"England, United Kingdom",Brie,"soft, artisan, blue-veined",crumbly,natural,yellow,tangy,rich,True,False
Little Dragon,goat,United States,Brie,soft,creamy,bloomy,white,"citrusy, creamy, mellow, sweet","fresh, herbal",False,False
Aged Chelsea,goat,United States,Brie,soft,"creamy, spreadable",mold ripened,ivory,"acidic, buttery, sweet",goaty,False,False
Buxton Blue,cow,"England, United Kingdom",Brie,"soft, artisan, blue-veined",crumbly,natural,yellow,tangy,"floral, fresh",True,False
Plancherin d'Arêches,goat,France,Brie,soft,"creamy, smooth, soft",natural,white,"creamy, floral, herbaceous, mild, nutty, woody","floral, fresh, herbal, perfumed, woody",False,False
Brie de Portneuf Double Cream,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, supple",bloomy,cream,creamy,nutty,True,False
Shepherd's Crook,sheep,England,Brie,"soft, artisan","creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",True,False
Largo,cow,United States,Brie,"soft, artisan","creamy, smooth",bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",False,False
Brise du Matin,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, runny, soft, soft-ripened",bloomy,cream,"buttery, mushroomy, nutty, pronounced",fresh,True,False
Brie d'Alexis,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, supple",bloomy,cream,"creamy, nutty",nutty,False,False
Cremet,"cow, goat","England, Great Britain, United Kingdom",Brie,"soft, artisan, soft-ripened","creamy, smooth, soft, soft-ripened",bloomy,white,"creamy, lemony","fresh, rich",True,False
Marin French Triple Crème,cow,United States,Brie,soft,"fluffy, smooth",bloomy,pale yellow,sweet,"rich, sweet",False,False
Bix,cow,United Kingdom,Brie,"soft, semi-soft","buttery, creamy, soft, soft-ripened",washed,pale yellow,"caramel, nutty",nutty,False,False
Saga,cow,Denmark,Brie,"soft, blue-veined, soft-ripened",creamy,bloomy,white,"creamy, mild",mild,False,False
Mirabo Brie with Walnut,cow,Germany,Brie,"semi-soft, soft-ripened","creamy, smooth, soft",natural,ivory,"nutty, savory",nutty,True,False
Brie de Meaux,cow,France,Brie,"soft, artisan, soft-ripened","creamy, smooth",bloomy,straw,milky,"buttery, sweet",False,False
Seastack,cow,United States,Brie,"soft, soft-ripened","creamy, firm, runny, soft",ash coated,white,"citrusy, earthy, garlicky, tangy","fresh, milky",False,False
Brillat-Savarin,cow,France,Brie,"soft, artisan","creamy, dense",mold ripened,white,"buttery, nutty, sour",milky,False,False
Castle Blue,cow,Canada,Brie,"semi-soft, blue-veined, soft-ripened","buttery, creamy",natural,cream,"creamy, piquant, sweet","earthy, rich",False,False
Château de Versailles,cow,Canada,Brie,"soft, soft-ripened","buttery, creamy, runny, soft, soft-ripened",bloomy,ivory,"buttery, creamy",pungent,False,False
Moses Sleeper,cow,United States,Brie,"semi-soft, artisan","soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",False,False
Palet de Babligny,cow,France,Brie,soft,creamy,washed,white,"buttery, nutty, subtle, sweet","aromatic, stinky, strong",False,False
Casatica,water buffalo,Italy,Brie,"semi-soft, artisan, soft-ripened","creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",False,False
Peekskill Pyramid,cow,United States,Brie,"soft, artisan",creamy,rindless,pale yellow,"buttery, sour, sweet",rich,False,False
Palet de Babligny,cow,France,Brie,soft,creamy,washed,yellow,"buttery, creamy, meaty","aromatic, strong",False,False
Snow Camp,"cow, goat",United States,Brie,semi-firm,soft,bloomy,ivory,"buttery, creamy",buttery,True,False
Brebirousse d'Argental,sheep,France,Brie,soft,"creamy, smooth",washed,orange,"creamy, sweet","grassy, milky",True,False
Minuet,"cow, goat",United States,Brie,"soft, soft-ripened","creamy, smooth",mold ripened,white,"sweet, tangy",pleasant,True,False
Aisy Cendre,cow,France,Brie,"semi-soft, smear-ripened","creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",False,False
Blue Earth,cow,United States,Brie,"soft, artisan, soft-ripened","creamy, runny, smooth, soft",bloomy,pale yellow,"buttery, grassy, smooth","fruity, spicy",True,False
Baby Brie,cow,France,Brie,soft,creamy,bloomy,cream,"creamy, mild",aromatic,False,False
